2967,1, 1: phan danh ba
2967,2, Khonh chinh lai thong tin duoc
2967,3, 2: tin nhan khong duoc thuan tien
2967,4, Khi co tin nhan den
2967,5, Toan hien van ban xem truoc
2967,6," Khong an di duoc, nhu the se de lo thong tin, se rat bat tien"
2967,7, Va mot vai cai dat khong duoc hai long
2967,8, Toi se khong dung may doi may nay nua
2967,9, Va se kiem cho minh dong may thay phu hop hon
2967,10, Cam on Microsoft va Nokia da nghe toi trinh bay
2967,11, Day la dia chg email cua toi
2967,12, [EMAIL REMOVED] om
2972,0,Truy cap mang kem
2989,0,My sms is not getting delievered
2989,1, Pls look at dis problem
3019,0,Whats app is not working in this phone
3040,0,"Jest tani, lekki , poreczny, troszke wolniejszy od smartfona lecz zywotnosc baterii to w pelni rekompensuje :)"
3043,0,Sa nous aide a retrouve
3064,0,"Tampilannya membingungkan, kurang lengkapSudah beda lagi bukan seperti nokia sebelumnya, malah terlihat seperti hp cina"
3067,0,Because it does not support whaptsapp
3080,0,Because if it download application it write can't open this file
3089,0,Karena saya sangat menikmati berbagai pitur di dalam nya
3104,0,Java apps cant be accessed 2
3104,1,No store for S30 OS 3
3112,0,Because watsapp is nt ter
3112,1, If it supports then ill give 10
3116,0,I gave a 4 because the phone is not able to download new apps from the internet to the phone and that is bad
3129,0, Nyaman dalam genggaman
3153,0,The reason is best know to me
3155,0,I can't use uc browser in this mobile
3167,0,"L?ng ch?ng,ko hop v?i th?i dai,bay gi? dung 1 smartphone va 1dthoai nghe va goi la ?u"
3167,1,cac ch?c nang khac cua 215 qua th?a
3173,0, \nBecause it desinged so friendly to use
3173,1, \n Nokia have all the things that i need
3173,2, And the parts of nokia is very hard and long lastic than other handset
3179,0,"All are awesome , but no whatsapp"
3190,0,Wt is the storage message important msg are delt
3203,0,"I love the phone, but it does not whatsapp"
3212,0,This phone is marvelous
3225,0,"Almost Satisfctry, net is workng smoothly"
3272,0,Need more update of software
3295,0,Sound is not clear
3332,0,Bcus the phone batrie is last nd d phn hv light
3337,0,Because this phone is uc browser supportable
3344,0,High cost with less features
3375,0,Cos i luv d number
3382,0,It is good phone but lacks basic features like installing 3rd party apps
3382,1, Many images and videos are unsupported which is not the case with other nokia phones of same range
3401,0,No net facility waste phone
3406,0,May dung on dinh
3429,0,Because it does not have whatsapp
3432,0,Perfect but not 100
3442,0,The phone is like windows phone and it have touch light
